i,roast_id,time_s,phase_used,phase_actual_next,gas,pressure,drum_speed,start_weight_kg,bean_start_temp_c,charge_temp_c,start_temp_c,observer_enabled,actual_bt,pred_bt,actual_et,pred_et,actual_ror,pred_ror,pred_e_drum_raw,pred_e_drum,pred_m_burden,pred_p_dry,pred_p_mai,pred_p_dev,bt_error,et_error,ror_error
1,PR-0173,1.0,drying,drying,0.25,144.3,0.65,,,221.2,,False,237.5,232.04619651233293,221.2,216.17853061141471,0.0,-98.16846277800734,-0.6864084724799011,-0.10800422857609131,0.9825177527287625,1.0,1.0,1.0,-5.453803487667074,-5.021469388585274,-98.16846277800734
2,PR-0173,2.0,drying,drying,0.75,145.3,0.65,,,221.2,,False,237.5,226.6235239097582,221.2,212.75385744934303,0.0,-166.32603079095014,-0.528596129663987,-0.10178610431841356,0.9651239789151715,1.0,1.0,1.0,-10.876476090241795,-8.446142550656958,-166.32603079095014
3,PR-0173,3.0,drying,drying,0.75,142.3,0.65,,,221.2,,False,237.5,221.32662523446427,221.2,209.46636424063507,0.0,-211.77239770895588,-0.3599933264790768,-0.09514281418223271,0.9478160490204206,1.0,1.0,1.0,-16.173374765535726,-11.733635759364915,-211.77239770895588
4,PR-0173,4.0,drying,drying,0.75,124.5,0.65,,,221.2,,False,237.5,216.15850132857383,221.2,206.31481167268416,0.0,-241.26690870229703,-0.11968962079622797,-0.08567436402900622,0.930591315890408,1.0,1.0,1.0,-21.341498671426166,-14.88518832731583,-241.26690870229703
5,PR-0173,5.0,drying,drying,0.75,130.7,0.65,,,221.2,,False,236.5,211.11868130362154,218.8,203.29260058869045,-60.0,-259.60359654074915,0.09264930798233839,-0.07730778242754378,0.9134472030714849,1.0,1.0,1.0,-25.381318696378457,-15.507399411309564,-199.60359654074915
6,PR-0173,6.0,drying,drying,0.75,142.6,0.65,,,221.2,,False,230.2,206.20557582052774,213.2,200.39211898609685,-378.0000000000007,-270.1584162742128,0.2538027984110699,-0.0709580102223796,0.8963812261234186,1.0,1.0,1.0,-23.994424179472247,-12.807881013903142,107.84158372578787
7,PR-0173,7.0,drying,drying,0.75,143.7,0.65,,,221.2,,False,223.2,201.41868628306753,206.8,197.60848248620013,-420.0,-275.2749030662328,0.40880960654322396,-0.06485042968366303,0.879390954435726,1.0,1.0,1.0,-21.78131371693246,-9.19151751379988,144.7250969337672
8,PR-0173,8.0,drying,drying,0.75,145.0,0.65,,,221.2,,False,214.5,196.75722532736862,197.0,194.93694792386574,-521.9999999999993,-276.59872934894344,0.5569066269486224,-0.059015108702801584,0.8624740127032137,1.0,1.0,1.0,-17.742774672631384,-2.0630520761342552,245.40127065105588
9,PR-0173,9.0,drying,drying,0.75,132.5,0.65,,,221.2,,False,206.8,192.22200567689163,189.0,192.37603939783799,-461.9999999999993,-275.25306425284623,0.755058442971447,-0.05120752792724915,0.8456280322524664,1.0,1.0,1.0,-14.577994323108385,3.3760393978379852,186.7469357471531
10,PR-0173,10.0,drying,drying,0.75,114.1,0.65,,,221.2,,False,199.5,187.814471065626,181.0,189.925628490805,-438.0000000000007,-272.01276797977346,1.0270893881232621,-0.04048896061682882,0.8288506312569021,1.0,1.0,1.0,-11.685528934373991,8.925628490804996,165.98723202022722
11,PR-0173,11.0,drying,drying,0.75,109.6,0.65,,,221.2,,False,192.8,183.53409729293094,173.5,187.58244296002016,-401.9999999999993,-267.45566549435273,1.3149528995192918,-0.029146558297892845,0.8121394658543726,1.0,1.0,1.0,-9.265902707069074,14.08244296002016,134.5443345056466
12,PR-0173,12.0,drying,drying,0.75,117.5,0.65,,,221.2,,False,186.5,179.37853971235958,167.0,185.34055121350082,-378.0000000000007,-262.0190022963313,1.567367171802186,-0.019200927420989968,0.795492274945114,1.0,1.0,1.0,-7.121460287640417,18.340551213500817,115.9809977036694
13,PR-0173,13.0,drying,drying,0.75,118.8,0.65,,,221.2,,False,177.0,175.34612722349416,159.8,183.19573864895784,-570.0,-255.99672640700942,1.811897581716817,-0.009565936605324088,0.7789068562863894,1.0,1.0,1.0,-1.6538727765058354,23.39573864895783,314.0032735929906
14,PR-0173,14.0,drying,drying,0.75,129.8,0.65,,,221.2,,False,171.5,171.43374748992127,156.0,181.14178322980464,-330.0,-249.6205436892186,2.0086312136093993,-0.0018142351417745164,0.7623811009791922,1.0,1.0,1.0,-0.06625251007872635,25.141783229804645,80.37945631078139
15,PR-0173,15.0,drying,drying,0.75,130.4,0.65,,,221.2,,False,166.8,167.63950004225208,153.2,179.17504728535945,-281.9999999999993,-243.03083464049848,2.200923792423625,0.005762479882923585,0.7459129555059161,1.0,1.0,1.0,0.8395000422520695,25.975047285359466,38.969165359500835
