i,time_s,phase_actual,measured_bt,measured_et,measured_ror,estimated_bt,estimated_et,estimated_ror,estimated_e_drum,estimated_m_burden,estimated_p_dry,estimated_p_mai,estimated_p_dev,actual_gas_now,actual_pressure_now,actual_drum_now,recommended_gas,recommended_pressure,recommended_drum,recommendation_text,mpc_objective,candidate_index
0,1.0,drying,237.5,221.2,0.0,104.15600027642151,217.44779014632724,105.9175445853385,-0.09454924466536661,0.9845144756143092,0.0,0.0,0.0,0.25,144.3,0.65,0.33,129.3,0.65,Increase gas slightly (+0.08) | Reduce airflow (-15.0 Pa),176122.72920646676,20
1,2.0,drying,237.5,221.2,0.0,152.3575769874908,214.89878128807678,93.23528040250112,-0.10241533179154697,0.9683213752947631,0.10852761506386722,0.0,0.0,0.75,145.3,0.65,0.41000000000000003,114.30000000000001,0.65,Reduce gas slightly (-0.34) | Reduce airflow (-31.0 Pa),74195.55004938229,20
2,3.0,drying,237.5,221.2,0.0,181.70068104701747,213.224287850713,42.093120831766,-0.10461386126192114,0.9516991691842355,0.8609148986414733,0.035975954749747775,0.0,0.75,142.3,0.65,0.33,114.30000000000001,0.65,Reduce gas slightly (-0.42) | Reduce airflow (-28.0 Pa),52405.3679002898,2
3,4.0,drying,237.5,221.2,0.0,199.55660544051355,211.8418072481252,-13.509785036808399,-0.10994256661673642,0.9348206896192782,1.0,0.6331640615556374,0.0,0.75,124.5,0.65,0.25,114.30000000000001,0.65,Reduce gas slightly (-0.50) | Reduce airflow (-10.2 Pa),67544.7460352866,2
4,5.0,drying,236.5,218.8,-60.0,210.05533734225415,210.06694883613312,-73.43158607406984,-0.11837014609714835,0.9177909712654284,1.0,0.9959979044232156,0.0,0.75,130.7,0.65,0.16999999999999998,114.30000000000001,0.65,Reduce gas slightly (-0.58) | Reduce airflow (-16.4 Pa),92511.82187570678,2
5,6.0,drying,230.2,213.2,-378.0000000000007,214.1879148331653,207.20564153597687,-181.36781731827642,-0.129865610961901,0.9006832358167461,1.0,1.0,0.3679239546251672,0.75,142.6,0.65,0.08999999999999998,114.30000000000001,0.65,Reduce gas slightly (-0.66) | Reduce airflow (-28.3 Pa),111391.58945838093,2
6,7.0,drying,223.2,206.8,-420.0,214.14256145908038,203.3568250566624,-256.44905127926506,-0.14439828235715094,0.8835684900243125,1.0,1.0,0.5102107372236916,0.75,143.7,0.65,0.009999999999999981,114.30000000000001,0.65,Reduce gas slightly (-0.74) | Reduce airflow (-29.4 Pa),120914.40380559248,2
7,8.0,drying,214.5,197.0,-521.9999999999993,210.90984879165373,197.94196132801858,-322.4000112658937,-0.1619377882175932,0.8664961636354519,1.0,1.0,0.5102107372236916,0.75,145.0,0.65,0.0,114.30000000000001,0.65,Reduce gas slightly (-0.75) | Reduce airflow (-30.7 Pa),121362.5417620375,2
8,9.0,drying,206.8,189.0,-461.9999999999993,206.0187062459898,191.99330038658024,-349.43449053601705,-0.17969591916682412,0.8495102728675387,1.0,1.0,0.5102107372236916,0.75,132.5,0.65,0.0,114.30000000000001,0.65,Reduce gas slightly (-0.75) | Reduce airflow (-18.2 Pa),116373.84059521531,2
9,10.0,drying,199.5,181.0,-438.0000000000007,200.23370519456324,185.6804498044299,-360.8982926397906,-0.1972764688065628,0.8326315790979222,1.0,1.0,0.5102107372236916,0.75,114.1,0.65,0.0,114.30000000000001,0.65,Reduce gas slightly (-0.75) | Hold airflow,108363.22593594412,2
